"trade_date","ts_code","name","industry","area","pe","float_share","total_share","total_assets","liquid_assets","fixed_assets","reserved","reserved_pershare","eps","bvps","pb","list_date","undp","per_undp","rev_yoy","profit_yoy","gpr","npr","holder_num"
"20240416","301357.SZ","北方长龙","专用机械","陕西","212.22","0.17","0.68","12.6","8.97","0.88","8.3","12.2","0.11","16.7","1.65","20230418","2.1","3.08","0","0","60.03","10.29","9897"
"20240416","301178.SZ","天亿马","软件服务","广东","0","0.44","0.67","10.41","9.21","0.04","5.72","8.51","-0.07","12.38","1.3","20211112","1.65","2.46","-24.45","-177.27","16.42","-3.35","10977"
"20240416","300169.SZ","天晟新材","塑料","江苏","0","3.02","3.26","13.09","8.07","2.92","8.29","2.54","-0.11","0.73","5.84","20110125","-9.41","-2.89","-11","2.36","17.88","-9.09","35731"
"20240416","688215.SH","瑞晟智能","专用机械","浙江","80.02","0.4","0.4","7.36","4.62","2.16","2.97","7.41","0.19","11.31","1.79","20200828","1.06","2.65","26.08","-13.57","33.61","4.57","4190"
"20240416","300651.SZ","金陵体育","文教休闲","江苏","29.38","0.76","1.29","13.34","7.85","2.91","2","1.55","0.29","5.84","1.96","20170509","3.77","2.93","1.08","64.94","35.38","10.92","11342"
"20240416","300261.SZ","雅本化学","农药化肥","江苏","48.44","9.37","9.63","42.08","18.13","9.73","6.82","0.71","0.08","2.37","2.17","20110906","7.52","0.78","-31.23","-57.77","33.4","7.66","73527"
"20240416","300876.SZ","蒙泰高新","化纤","广东","65.71","0.68","0.96","14.68","5.01","4.08","4.58","4.77","0.22","8.7","1.69","20200824","2.4","2.5","15.26","-56.74","18.52","4.34","6896"
"20240416","301032.SZ","新柴股份","工程机械","浙江","241.62","0.83","2.41","27.38","21.14","4.86","4.88","2.02","0.02","4.44","1.37","20210722","2.52","1.05","13.21","-40.67","8.55","0.2","12467"
"20240416","300269.SZ","联建光电","元器件","深圳","32.54","5.26","5.49","11.19","7.43","0.99","36.37","6.62","0.08","0.19","17.94","20111012","-41.32","-7.52","-24.91","1176.44","29.18","5.61","24284"
"20240416","688619.SH","罗普特","软件服务","福建","0","1.88","1.88","19.37","12.93","0.17","10.04","5.35","-0.03","5.95","1.14","20210223","0.14","0.08","212.47","87.96","38.73","-1.76","9631"
"20240416","300449.SZ","汉邦高科","IT设备","北京","0","2.96","3.87","4.25","2.45","0.77","7.86","2.03","-0.16","-0.03","-121.43","20150422","-10.98","-2.83","1.39","18.34","36.54","-70.69","22049"
